player_id,name,team,season,approximate_value
AbduHu99,Husain Abdullah,kan,2013,2
AlbeBr20,Branden Albert,kan,2013,7
AlleJe01,Jeff Allen,kan,2013,7
AsamJo20,Jon Asamoah,kan,2013,5
AverDo00,Donnie Avery,kan,2013,6
BailAl00,Allen Bailey,kan,2013,3
BerrEr99,Eric Berry,kan,2013,12
BoweDw00,Dwayne Bowe,kan,2013,6
BrocKe00,Kevin Brock,kan,2013,0
CataMi00,Mike Catapano,kan,2013,1
CharJa00,Jamaal Charles,kan,2013,16
ColqDu20,Dustin Colquitt,kan,2013,2
CommSa00,Sanders Commings,kan,2013,0
CoopMa00,Marcus Cooper,kan,2013,4
DaniCh00,Chase Daniel,kan,2013,1
DaviKn00,Knile Davis,kan,2013,3
DempQu99,Quintin Demps,kan,2013,4
DeViMi99,Mike DeVito,kan,2013,6
FasaAn00,Anthony Fasano,kan,2013,2
FishEr00,Eric Fisher,kan,2013,6
FlowBr99,Brandon Flowers,kan,2013,7
GaffTh20,Thomas Gafford,kan,2013,2
GordRi00,Richard Gordon,kan,2013,0
GrayCy00,Cyrus Gray,kan,2013,1
HaliTa20,Tamba Hali,kan,2013,13
HallCh00,Chad Hall,kan,2013,0
HemiJu00,Junior Hemingway,kan,2013,1
HousJu00,Justin Houston,kan,2013,9
HowaJa00,Jaye Howard,kan,2013,1
HudsRo00,Rodney Hudson,kan,2013,7
JackTy98,Tyson Jackson,kan,2013,5
JameRo99,Robert James,kan,2013,0
JenkA.00,A.J. Jenkins,kan,2013,1
JohnDe25,Derrick Johnson,kan,2013,11
JohnJa04,James-Michael Johnson,kan,2013,2
JohnNi00,Nico Johnson,kan,2013,1
JohnRi02,Rishaw Johnson,kan,2013,1
JoneDo01,Dominique Jones,kan,2013,0
JordAk99,Akeem Jordan,kan,2013,5
KelcTr00,Travis Kelce,kan,2013,0
KushEr00,Eric Kush,kan,2013,1
LewiKe00,Kendrick Lewis,kan,2013,5
LoveKy00,Kyle Love,kan,2013,0
MartJo02,Josh Martin,kan,2013,1
McClDe00,Dexter McCluster,kan,2013,7
McDoBr01,Bradley McDougald,kan,2013,0
McGrSe00,Sean McGrath,kan,2013,3
MoseDe00,Dezman Moses,kan,2013,1
ParkRo01,Ron Parker,kan,2013,2
PoexDo00,Dontari Poe,kan,2013,13
PoweJe00,Jerrell Powe,kan,2013,1
RobiDu20,Dunta Robinson,kan,2013,1
SchwGe20,Geoff Schwartz,kan,2013,4
SherAn00,Anthony Sherman,kan,2013,1
SmitAl03,Alex Smith,kan,2013,14
SmitSe99,Sean Smith,kan,2013,6
StepDo00,Donald Stephenson,kan,2013,4
SuccRy44,Ryan Succop,kan,2013,2
ToriAn20,Anthony Toribio,kan,2013,1
WatkRo00,Rokevious Watkins,kan,2013,1
WillKy01,Kyle Williams,kan,2013,0
ZombFr00,Frank Zombo,kan,2013,4
AlleRu00,Russell Allen,jax,2013,5
AluaTy99,Tyson Alualu,jax,2013,6
AngeBr00,Bryan Anger,jax,2013,3
BabiJa20,Jason Babin,jax,2013,6
BallAl99,Alan Ball,jax,2013,5
BlacJu00,Justin Blackmon,jax,2013,3
BlacWi20,Will Blackmon,jax,2013,3
BradCa00,Cameron Bradfield,jax,2013,4
BranAn00,Andre Branch,jax,2013,2
BrewMi00,Mike Brewster,jax,2013,2
BrowMi00,Mike Brown,jax,2013,3
BurtSt00,Stephen Burton,jax,2013,0
CartDe01,Delone Carter,jax,2013,0
CyprJo00,Johnathan Cyprien,jax,2013,5
DaviRy00,Ryan Davis,jax,2013,1
DeadBr99,Brandon Deaderick,jax,2013,1
EberJe00,Jeremy Ebert,jax,2013,0
EvanJo00,Josh Evans,jax,2013,4
FlemJa00,Jamell Fleming,jax,2013,0
ForsJu00,Justin Forsett,jax,2013,1
GabbBl00,Blaine Gabbert,jax,2013,1
GratDw00,Dwayne Gratz,jax,2013,3
GuyxWi00,Winston Guy,jax,2013,1
HarbCl00,Clay Harbor,jax,2013,2
HarrMi00,Mike Harris,jax,2013,2
HayeGe98,Geno Hayes,jax,2013,6
HennCh01,Chad Henne,jax,2013,6
JoecLu00,Luke Joeckel,jax,2013,2
JoneAb00,Abry Jones,jax,2013,1
DrewMa00,Maurice Jones-Drew,jax,2013,5
KnoxKy00,Kyle Knox,jax,2013,0
LewiMa00,Marcedes Lewis,jax,2013,2
LotuJo00,John Lotulelei,jax,2013,1
LoveKy00,Kyle Love,jax,2013,0
LoweDw99,Dwight Lowery,jax,2013,1
MarkSe99,Sen'Derrick Marks,jax,2013,7
McClJa20,Jacques McClendon,jax,2013,1
McCrDe00,Demetrius McCray,jax,2013,1
MeesBr20,Brad Meester,jax,2013,6
MillJo01,Jordan Miller,jax,2013,0
MillRo99,Roy Miller,jax,2013,5
MincJe99,Jeremy Mincey,jax,2013,1
MonrEu20,Eugene Monroe,jax,2013,1
NeviDr00,Drake Nevis,jax,2013,0
NoblDa00,Danny Noble,jax,2013,0
NowaDr00,Drew Nowak,jax,2013,0
NwanUc20,Uche Nwaneri,jax,2013,6
PalmTo00,Tobais Palmer,jax,2013,0
PaszAu00,Austin Pasztor,jax,2013,4
PoluPa99,Paul Posluszny,jax,2013,9
ProsCh00,Chris Prosinski,jax,2013,1
RackWi01,Will Rackley,jax,2013,4
ReisAl00,Allen Reisner,jax,2013,0
ReynLa00,LaRoy Reynolds,jax,2013,1
RobiDe00,Denard Robinson,jax,2013,0
SandAc00,Ace Sanders,jax,2013,3
scobejos01,Josh Scobee,jax,2013,4
ShorCe00,Cecil Shorts,jax,2013,5
StupNa01,Nathan Stupar,jax,2013,0
TaufWi00,Will Ta'ufo'ou,jax,2013,0
TaylKe00,Kerry Taylor,jax,2013,1
ThomJ.02,J.T. Thomas,jax,2013,2
ThomLa02,Lamaar Thomas,jax,2013,0
TinkCa00,Carson Tinker,jax,2013,1
TodmJo00,Jordan Todman,jax,2013,2
WillD.00,D.J. Williams,jax,2013,1
WillSt01,Stephen Williams,jax,2013,0
YounSa21,Sam Young,jax,2013,1
AddiMa00,Mario Addison,car,2013,3
AlexFr00,Frank Alexander,car,2013,3
AndeDe00,Derek Anderson,car,2013,0
BarnKe00,Kenjon Barner,car,2013,0
BeasJo99,Jon Beason,car,2013,1
BellBy00,Byron Bell,car,2013,6
BlacCh21,Chase Blackburn,car,2013,4
BondTr00,Travis Bond,car,2013,0
BrocRi00,Richie Brockel,car,2013,0
ByerJe00,Jeff Byers,car,2013,1
ChanNa00,Nate Chandler,car,2013,4
ColeCo20,Colin Cole,car,2013,6
ConnDa99,Dan Connor,car,2013,0
DaviTh20,Thomas Davis,car,2013,10
DockJa00,James Dockery,car,2013,0
EdwaAr00,Armanti Edwards,car,2013,0
EdwaDw20,Dwan Edwards,car,2013,3
FlorDr20,Drayton Florence,car,2013,3
FolkBr00,Brian Folkerts,car,2013,1
FuaxSi00,Sione Fua,car,2013,0
GanoGr44,Graham Gano,car,2013,4
GinnTe00,Ted Ginn Jr.,car,2013,6
GodfCh99,Charles Godfrey,car,2013,1
GrosJo20,Jordan Gross,car,2013,9
HangGe20,Geoff Hangartner,car,2013,1
HardGr99,Greg Hardy,car,2013,15
HartBe00,Ben Hartsock,car,2013,0
HixoDo00,Domenik Hixon,car,2013,1
HortWe00,Wes Horton,car,2013,1
JansJ.00,J.J. Jansen,car,2013,5
JohnCh98,Charles Johnson,car,2013,8
JoneCo01,Colin Jones,car,2013,1
KaliRy20,Ryan Kalil,car,2013,13
KleiAJ00,A.J. Klein,car,2013,2
KuecLu00,Luke Kuechly,car,2013,18
LaFeBr00,Brandon LaFell,car,2013,7
LestRo01,Robert Lester,car,2013,3
LotuSt00,Star Lotulelei,car,2013,9
McNuMa00,Marvin McNutt,car,2013,0
MikeQu20,Quintin Mikell,car,2013,5
MitcMi99,Mike Mitchell,car,2013,7
MoorDJ99,D.J. Moore,car,2013,0
MunnCa99,Captain Munnerlyn,car,2013,8
NewtCa00,Cam Newton,car,2013,16
NormJo01,Josh Norman,car,2013,0
NortBr00,Brad Nortman,car,2013,3
OlseGr00,Greg Olsen,car,2013,8
ScotCh23,Chris Scott,car,2013,4
SennJo00,Jordan Senn,car,2013,1
ShorKa00,Kawann Short,car,2013,2
SilaAm00,Amini Silatolu,car,2013,2
SmitAr00,Armond Smith,car,2013,0
SmitSt01,Steve Smith Sr.,car,2013,8
StewJo00,Jonathan Stewart,car,2013,2
ThomJo01,Josh Thomas,car,2013,3
TolbMi00,Mike Tolbert,car,2013,5
WharTr20,Travelle Wharton,car,2013,6
WhitMe00,Melvin White,car,2013,5
WillBr04,Brandon Williams,car,2013,0
WillDe02,DeAngelo Williams,car,2013,10
WillGa23,Garry Williams,car,2013,1
WillJa95,Jason Williams,car,2013,1
BajeBi00,Billy Bajema,rav,2013,0
BrowAr00,Arthur Brown,rav,2013,1
BrowCh05,Chykie Brown,rav,2013,1
BrowMa00,Marlon Brown,rav,2013,3
BrowOm00,Omar Brown,rav,2013,0
ByneJo00,Josh Bynes,rav,2013,4
CantCh21,Chris Canty,rav,2013,7
ClarDa00,Dallas Clark,rav,2013,2
CodyTe99,Terrence Cody,rav,2013,2
CoxxMo00,Morgan Cox,rav,2013,1
DickEd00,Ed Dickson,rav,2013,2
DossTa00,Tandon Doss,rav,2013,3
DrauSh00,Shaun Draughn,rav,2013,0
DumeEl20,Elvis Dumervil,rav,2013,3
ElamMa00,Matt Elam,rav,2013,7
FlacJo00,Joe Flacco,rav,2013,8
GradGi00,Gino Gradkowski,rav,2013,7
GrahCo99,Corey Graham,rav,2013,4
HuffMi20,Michael Huff,rav,2013,1
IhedJa00,James Ihedigbo,rav,2013,8
JackAs00,Asa Jackson,rav,2013,0
JameRo99,Robert James,rav,2013,0
JoneAr22,Arthur Jones,rav,2013,8
JoneJa03,Jacoby Jones,rav,2013,4
JuszKy00,Kyle Juszczyk,rav,2013,0
KochSa20,Sam Koch,rav,2013,2
LeacVo00,Vonta Leach,rav,2013,0
LeviAn00,Anthony Levine,rav,2013,1
McClJa01,Jameel McClain,rav,2013,5
McClAl00,Albert McClellan,rav,2013,1
McKiBr21,Bryant McKinnie,rav,2013,2
McPhPe00,Pernell McPhee,rav,2013,2
MileJe00,Jeromy Miles,rav,2013,1
MonrEu20,Eugene Monroe,rav,2013,4
NgatHa20,Haloti Ngata,rav,2013,11
OherMi20,Michael Oher,rav,2013,7
OsemKe00,Kelechi Osemele,rav,2013,3
PierBe00,Bernard Pierce,rav,2013,3
PittDe00,Dennis Pitta,rav,2013,1
ReidJa00,Jah Reid,rav,2013,1
RiceRa00,Ray Rice,rav,2013,3
ScotBe00,Bernard Scott,rav,2013,0
ShipA.20,A.Q. Shipley,rav,2013,4
SimoJo01,John Simon,rav,2013,1
SmitDa24,Daryl Smith,rav,2013,10
SmitJi03,Jimmy Smith,rav,2013,7
SmitTo02,Torrey Smith,rav,2013,7
SpeaMa21,Marcus Spears,rav,2013,1
StokBr00,Brandon Stokley,rav,2013,1
SuggTe99,Terrell Suggs,rav,2013,12
TaylTy00,Tyrod Taylor,rav,2013,0
ThomDe04,Deonte Thompson,rav,2013,1
TrawBr00,Brynden Trawick,rav,2013,1
TuckJu00,Justin Tucker,rav,2013,5
TysoDe00,DeAngelo Tyson,rav,2013,2
UpshCo00,Courtney Upshaw,rav,2013,7
WagnRi00,Ricky Wagner,rav,2013,2
WebbLa99,Lardarius Webb,rav,2013,7
WillBr02,Brandon Williams,rav,2013,1
YandMa20,Marshal Yanda,rav,2013,8
AdamJo02,Johnny Adams,buf,2013,0
AlonKi00,Kiko Alonso,buf,2013,10
AspeMa00,Mark Asper,buf,2013,0
BradNi00,Nigel Bradham,buf,2013,2
BranAl99,Alan Branch,buf,2013,6
BrooRo01,Ron Brooks,buf,2013,1
BrowCo23,Colin Brown,buf,2013,2
BryaCo00,Corbin Bryant,buf,2013,2
BurtBr00,Brandon Burton,buf,2013,0
ByrdJa99,Jairus Byrd,buf,2013,7
CarpDa44,Dan Carpenter,buf,2013,4
CarrAl99,Alex Carrington,buf,2013,1
ChanSc00,Scott Chandler,buf,2013,5
CharSt00,Stefan Charles,buf,2013,1
ChoiTa00,Tashard Choice,buf,2013,1
DareMa00,Marcell Dareus,buf,2013,10
DowtMa00,Marcus Dowtin,buf,2013,0
EaslMa00,Marcus Easley,buf,2013,0
GilmSt00,Stephon Gilmore,buf,2013,3
GlenCo00,Cordy Glenn,buf,2013,7
GoodMa00,Marquise Goodwin,buf,2013,2
GragCh00,Chris Gragg,buf,2013,0
GrahT.00,T.J. Graham,buf,2013,3
HogaCh00,Chris Hogan,buf,2013,1
HughJe99,Jerry Hughes,buf,2013,3
JackFr02,Fred Jackson,buf,2013,8
JohnSt00,Stevie Johnson,buf,2013,5
LawsMa20,Manny Lawson,buf,2013,8
LeguDo00,Doug Legursky,buf,2013,5
LeonJi23,Jim Leonhard,buf,2013,3
LewiTh01,Thaddeus Lewis,buf,2013,3
ManuEJ00,EJ Manuel,buf,2013,5
McKeLe99,Leodis McKelvin,buf,2013,5
MeekJo01,Jonathan Meeks,buf,2013,0
MoatAr00,Arthur Moats,buf,2013,6
MoeaTo00,Tony Moeaki,buf,2013,0
MoorBr24,Brian Moorman,buf,2013,0
PearEr20,Erik Pears,buf,2013,7
PoweSh00,Shawn Powell,buf,2013,1
PoweTy00,Ty Powell,buf,2013,0
RobeNi00,Nickell Robey-Coleman,buf,2013,2
RodrEv00,Evan Rodriguez,buf,2013,0
RogeJu00,Justin Rogers,buf,2013,2
RossJa00,Jay Ross,buf,2013,0
SanbGa00,Garrison Sanborn,buf,2013,2
SearDa00,Da'Norris Searcy,buf,2013,4
SmitBr01,Brad Smith,buf,2013,0
SmitBr04,Brandon Smith,buf,2013,0
SmitLe00,Lee Smith,buf,2013,1
SpilC.00,C.J. Spiller,buf,2013,7
SummFr00,Frank Summers,buf,2013,1
TuelJe00,Jeff Tuel,buf,2013,1
UngaJ.00,J.J. Unga,buf,2013,0
UrbiKr20,Kraig Urbik,buf,2013,7
WelcTh20,Thomas Welch,buf,2013,1
